Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga,Bulan_Angka,Harga_Bulan_Lalu,Harga_3Bulan_Lalu,Harga_Tahun_Lalu,Provinsi_ID,Komoditas_ID
61,Kalimantan Barat,Beras Medium,2022,Januari,12357.0,1,12276.0,12271.0,12509.0,49,2
62,Kalimantan Tengah,Beras Medium,2022,Januari,12033.0,1,12122.0,12042.0,12721.0,51,2
63,Kalimantan Selatan,Beras Medium,2022,Januari,11904.0,1,12088.0,11997.0,11607.0,50,2
64,Kalimantan Timur,Beras Medium,2022,Januari,11832.0,1,11824.0,11881.0,11936.0,52,2
65,Kalimantan Utara,Beras Medium,2022,Januari,12559.0,1,12632.0,12555.0,12306.0,53,2
71,Sulawesi Utara,Beras Medium,2022,Januari,10835.0,1,10823.0,10811.0,11143.0,73,2
72,Sulawesi Tengah,Beras Medium,2022,Januari,10209.0,1,10242.0,10214.0,10431.0,71,2
73,Sulawesi Selatan,Beras Medium,2022,Januari,9579.0,1,9586.0,9567.0,9793.0,70,2
74,Sulawesi Tenggara,Beras Medium,2022,Januari,10235.0,1,10146.0,10340.0,10408.0,72,2
75,Gorontalo,Beras Medium,2022,Januari,10207.0,1,10216.0,10304.0,10285.0,44,2
76,Sulawesi Barat,Beras Medium,2022,Januari,9807.0,1,9929.0,9543.0,10123.0,69,2
81,Maluku,Beras Medium,2022,Januari,12165.0,1,12432.0,12483.0,12163.0,57,2
82,Maluku Utara,Beras Medium,2022,Januari,12675.0,1,12742.0,12739.0,12684.0,58,2
91,Papua Barat,Beras Medium,2022,Januari,12946.0,1,13049.0,13093.0,12606.0,62,2
94,Papua,Beras Medium,2022,Januari,13146.0,1,12820.0,12796.0,12314.0,61,2
11,Aceh,Kedelai Biji Kering,2022,Januari,11905.0,1,11550.0,11203.0,10410.0,38,18
12,Sumatera Utara,Kedelai Biji Kering,2022,Januari,11754.0,1,11281.0,11107.0,10105.0,76,18
13,Sumatera Barat,Kedelai Biji Kering,2022,Januari,12209.0,1,11752.0,11799.0,10365.0,74,18
14,Riau,Kedelai Biji Kering,2022,Januari,11907.0,1,11593.0,11226.0,10663.0,68,18
15,Jambi,Kedelai Biji Kering,2022,Januari,11546.0,1,11332.0,11301.0,10250.0,45,18
16,Sumatera Selatan,Kedelai Biji Kering,2022,Januari,11306.0,1,11240.0,11240.0,10156.0,75,18
17,Bengkulu,Kedelai Biji Kering,2022,Januari,12225.0,1,12023.0,11985.0,8840.0,41,18
18,Lampung,Kedelai Biji Kering,2022,Januari,11932.0,1,11429.0,11483.0,11081.0,56,18
19,Kepulauan Bangka Belitung,Kedelai Biji Kering,2022,Januari,11067.0,1,11193.0,10993.0,9762.0,54,18
21,Kepulauan Riau,Kedelai Biji Kering,2022,Januari,12758.0,1,12043.0,12157.0,10882.0,55,18
31,DKI Jakarta,Kedelai Biji Kering,2022,Januari,12233.0,1,12218.0,12186.0,12271.0,43,18
32,Jawa Barat,Kedelai Biji Kering,2022,Januari,12058.0,1,12090.0,12108.0,11094.0,46,18
33,Jawa Tengah,Kedelai Biji Kering,2022,Januari,11420.0,1,11339.0,11252.0,9706.0,47,18
34,DI Yogyakarta,Kedelai Biji Kering,2022,Januari,10919.0,1,10798.0,10450.0,9876.0,42,18
35,Jawa Timur,Kedelai Biji Kering,2022,Januari,11264.0,1,11206.0,11096.0,9668.0,48,18
36,Banten,Kedelai Biji Kering,2022,Januari,12385.0,1,12249.0,12063.0,10880.0,40,18
51,Bali,Kedelai Biji Kering,2022,Januari,11887.0,1,11452.0,11476.0,10277.0,39,18
52,Nusa Tenggara Barat,Kedelai Biji Kering,2022,Januari,13010.0,1,12681.0,12704.0,11243.0,59,18
53,Nusa Tenggara Timur,Kedelai Biji Kering,2022,Januari,15102.0,1,14860.0,14454.0,12388.0,60,18
61,Kalimantan Barat,Kedelai Biji Kering,2022,Januari,12185.0,1,12259.0,11922.0,10421.0,49,18
62,Kalimantan Tengah,Kedelai Biji Kering,2022,Januari,12269.0,1,12341.0,12347.0,12316.0,51,18
63,Kalimantan Selatan,Kedelai Biji Kering,2022,Januari,11754.0,1,11694.0,11556.0,11875.0,50,18
64,Kalimantan Timur,Kedelai Biji Kering,2022,Januari,12825.0,1,13055.0,12887.0,11614.0,52,18
65,Kalimantan Utara,Kedelai Biji Kering,2022,Januari,14815.0,1,14323.0,14308.0,13250.0,53,18
71,Sulawesi Utara,Kedelai Biji Kering,2022,Januari,12928.0,1,13306.0,12962.0,8392.0,73,18
72,Sulawesi Tengah,Kedelai Biji Kering,2022,Januari,13352.0,1,13074.0,13079.0,9429.0,71,18
73,Sulawesi Selatan,Kedelai Biji Kering,2022,Januari,11825.0,1,11147.0,11439.0,10230.0,70,18
74,Sulawesi Tenggara,Kedelai Biji Kering,2022,Januari,11591.0,1,11676.0,11618.0,11585.0,72,18
76,Sulawesi Barat,Kedelai Biji Kering,2022,Januari,12000.0,1,12421.0,12481.0,11847.0,69,18
81,Maluku,Kedelai Biji Kering,2022,Januari,13554.0,1,13398.0,13417.0,11590.0,57,18
91,Papua Barat,Kedelai Biji Kering,2022,Januari,14946.0,1,14715.0,14461.0,14066.0,62,18
94,Papua,Kedelai Biji Kering,2022,Januari,14438.0,1,14455.0,14545.0,12281.0,61,18
11,Aceh,Bawang Merah,2022,Januari,30160.0,1,28381.0,28593.0,33853.0,38,0
12,Sumatera Utara,Bawang Merah,2022,Januari,28267.0,1,26888.0,27448.0,29236.0,76,0
13,Sumatera Barat,Bawang Merah,2022,Januari,24587.0,1,21982.0,22846.0,25114.0,74,0
14,Riau,Bawang Merah,2022,Januari,28006.0,1,27480.0,27615.0,28643.0,68,0
15,Jambi,Bawang Merah,2022,Januari,23935.0,1,23291.0,24108.0,25059.0,45,0
16,Sumatera Selatan,Bawang Merah,2022,Januari,25548.0,1,24794.0,25860.0,28760.0,75,0
17,Bengkulu,Bawang Merah,2022,Januari,26764.0,1,25127.0,28618.0,30252.0,41,0
18,Lampung,Bawang Merah,2022,Januari,23312.0,1,21810.0,25113.0,26251.0,56,0
19,Kepulauan Bangka Belitung,Bawang Merah,2022,Januari,31212.0,1,30692.0,32087.0,34323.0,54,0
21,Kepulauan Riau,Bawang Merah,2022,Januari,36122.0,1,35587.0,35924.0,37021.0,55,0
31,DKI Jakarta,Bawang Merah,2022,Januari,34071.0,1,32667.0,31819.0,33842.0,43,0
32,Jawa Barat,Bawang Merah,2022,Januari,25783.0,1,24785.0,25506.0,27927.0,46,0
33,Jawa Tengah,Bawang Merah,2022,Januari,24377.0,1,22237.0,24683.0,25229.0,47,0
34,DI Yogyakarta,Bawang Merah,2022,Januari,23938.0,1,22454.0,22646.0,26552.0,42,0
35,Jawa Timur,Bawang Merah,2022,Januari,22758.0,1,21669.0,22670.0,25336.0,48,0
36,Banten,Bawang Merah,2022,Januari,26620.0,1,26308.0,27493.0,27743.0,40,0
51,Bali,Bawang Merah,2022,Januari,19893.0,1,19418.0,19950.0,27427.0,39,0
52,Nusa Tenggara Barat,Bawang Merah,2022,Januari,19179.0,1,17835.0,19467.0,32182.0,59,0
53,Nusa Tenggara Timur,Bawang Merah,2022,Januari,26100.0,1,25561.0,23006.0,33858.0,60,0
61,Kalimantan Barat,Bawang Merah,2022,Januari,30521.0,1,28216.0,29853.0,38963.0,49,0
62,Kalimantan Tengah,Bawang Merah,2022,Januari,29923.0,1,28831.0,30095.0,33121.0,51,0
63,Kalimantan Selatan,Bawang Merah,2022,Januari,25940.0,1,23651.0,25498.0,29993.0,50,0
64,Kalimantan Timur,Bawang Merah,2022,Januari,30732.0,1,27105.0,30099.0,28484.0,52,0
65,Kalimantan Utara,Bawang Merah,2022,Januari,35951.0,1,31760.0,33812.0,37377.0,53,0
71,Sulawesi Utara,Bawang Merah,2022,Januari,37345.0,1,33154.0,34941.0,35785.0,73,0
72,Sulawesi Tengah,Bawang Merah,2022,Januari,30035.0,1,28305.0,31153.0,33976.0,71,0
73,Sulawesi Selatan,Bawang Merah,2022,Januari,25396.0,1,23249.0,24625.0,28254.0,70,0
74,Sulawesi Tenggara,Bawang Merah,2022,Januari,32121.0,1,29660.0,31668.0,34566.0,72,0
75,Gorontalo,Bawang Merah,2022,Januari,37367.0,1,28983.0,30182.0,29483.0,44,0
76,Sulawesi Barat,Bawang Merah,2022,Januari,26581.0,1,22082.0,24039.0,25912.0,69,0
81,Maluku,Bawang Merah,2022,Januari,37159.0,1,37191.0,38279.0,41837.0,57,0
82,Maluku Utara,Bawang Merah,2022,Januari,46289.0,1,41873.0,43806.0,46046.0,58,0
91,Papua Barat,Bawang Merah,2022,Januari,45114.0,1,44413.0,43134.0,45785.0,62,0
94,Papua,Bawang Merah,2022,Januari,49400.0,1,49167.0,48233.0,45377.0,61,0
